,x
603,2
604,1
605,2
606,2
607,1
608,1
609,1
610,1
611,2
612,1
613,1
614,1
615,1
616,2
617,1
618,2
619,2
620,2
621,1
622,1
623,2
624,1
625,1
626,1
627,2
628,2
629,1
630,1
631,1
632,2
633,2
634,1
635,2
636,1
637,1
638,2
639,1
640,2
641,2
642,2
643,2
644,2
645,1
646,1
647,1
648,1
649,2
650,1
651,1
652,1
653,1
654,2
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,2
663,1
664,1
665,1
666,2
667,1
668,1
669,1
670,1
671,2
672,2
673,2
674,1
675,2
676,2
677,2
678,1
679,2
680,1
681,1
682,2
683,1
684,2
685,2
686,2
687,2
688,1
689,1
690,1
691,1
692,2
693,2
694,1
695,2
696,2
697,1
698,2
699,1
700,1
701,2
702,2
703,1
704,2
705,1
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,2
714,2
715,2
716,1
717,1
718,2
719,2
720,1
721,1
722,1
723,1
724,1
725,1
726,2
727,2
728,2
729,1
730,1
731,1
732,2
733,2
734,2
735,1
736,1
737,2
738,2
739,2
740,2
741,1
742,2
743,2
744,1
745,1
746,2
747,2
748,2
749,2
750,2
751,2
752,1
753,1
754,1
755,1
756,2
757,2
758,2
759,2
760,1
761,1
762,2
763,2
764,2
765,2
766,2
767,1
768,2
769,2
770,1
771,2
772,1
773,1
774,2
775,2
776,1
777,2
778,2
779,2
780,2
781,1
782,1
783,1
784,2
785,2
786,1
787,1
788,1
789,1
790,2
791,2
792,1
793,2
794,2
795,2
796,1
797,1
798,2
799,1
800,1
801,2
802,1
803,1
804,2
805,1
806,2
807,1
808,2
809,1
810,2
811,2
812,1
813,2
814,2
815,2
816,2
817,2
818,2
819,1
820,2
821,2
822,2
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,2
833,2
834,2
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,2
843,2
844,2
845,2
846,1
847,1
848,1
849,1
850,2
851,2
852,2
853,2
854,1
855,2
856,1
857,2
858,2
859,1
860,1
861,2
862,2
863,2
864,2
865,2
866,1
867,2
868,1
869,1
870,1
871,2
872,2
873,1
874,1
875,1
876,1
877,2
878,2
879,1
880,2
881,1
882,1
883,1
884,2
885,2
886,1
887,1
888,1
889,1
890,1
891,2
892,1
893,1
894,2
895,2
896,2
897,2
898,1
899,2
900,1
901,2
902,2
903,2
904,1
905,1
906,2
907,1
908,2
909,1
910,1
911,1
912,1
913,2
914,1
915,1
916,2
917,2
918,1
919,1
920,1
921,2
922,2
923,2
924,1
925,1
926,2
927,2
928,2
929,1
930,2
931,2
932,2
933,2
934,2
935,1
936,1
937,2
938,2
939,2
940,2
941,1
942,2
943,1
944,2
945,1
946,2
947,2
948,2
949,1
950,1
951,2
952,2
953,2
954,1
955,1
956,1
957,2
958,1
959,1
960,2
961,1
962,2
963,2
964,2
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,2
973,2
974,2
975,2
976,1
977,2
978,1
979,2
980,1
981,2
982,1
983,2
984,1
985,2
986,2
987,2
988,2
989,1
990,2
991,2
992,1
993,2
994,1
995,1
996,2
997,1
998,1
999,2
1000,1
