,cellid,pop,kon_nonDE_evf1,kon_nonDE_evf2,kon_nonDE_evf3,kon_nonDE_evf4,kon_nonDE_evf5,kon_nonDE_evf6,kon_nonDE_evf7,kon_nonDE_evf8,kon_nonDE_evf9,kon_nonDE_evf10,kon_nonDE_evf11,kon_nonDE_evf12,kon_nonDE_evf13,kon_nonDE_evf14,kon_nonDE_evf15,kon_nonDE_evf16,kon_nonDE_evf17,kon_nonDE_evf18,kon_nonDE_evf19,kon_nonDE_evf20,koff_nonDE_evf1,koff_nonDE_evf2,koff_nonDE_evf3,koff_nonDE_evf4,koff_nonDE_evf5,koff_nonDE_evf6,koff_nonDE_evf7,koff_nonDE_evf8,koff_nonDE_evf9,koff_nonDE_evf10,koff_nonDE_evf11,koff_nonDE_evf12,koff_nonDE_evf13,koff_nonDE_evf14,koff_nonDE_evf15,koff_nonDE_evf16,koff_nonDE_evf17,koff_nonDE_evf18,koff_nonDE_evf19,koff_nonDE_evf20,s_nonDE_evf1,s_nonDE_evf2,s_nonDE_evf3,s_nonDE_evf4,s_nonDE_evf5,s_nonDE_evf6,s_nonDE_evf7,s_nonDE_evf8,s_nonDE_evf9,s_nonDE_evf10,s_nonDE_evf11,s_nonDE_evf12,s_nonDE_evf13,s_nonDE_evf14,s_nonDE_evf15,s_DE_evf16,s_DE_evf17,s_DE_evf18,s_DE_evf19,s_DE_evf20
11,cell_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
12,cell_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
13,cell_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
14,cell_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
15,cell_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
16,cell_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
17,cell_17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
18,cell_18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
19,cell_19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
20,cell_20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
21,cell_21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
22,cell_22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
23,cell_23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
24,cell_24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
25,cell_25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
26,cell_26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
27,cell_27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
28,cell_28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
29,cell_29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
30,cell_30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
31,cell_31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
32,cell_32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
33,cell_33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
34,cell_34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
35,cell_35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
36,cell_36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
37,cell_37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
38,cell_38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
39,cell_39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
40,cell_40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
41,cell_41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
42,cell_42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
43,cell_43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
44,cell_44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
45,cell_45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
46,cell_46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
47,cell_47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
48,cell_48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
49,cell_49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
50,cell_50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
51,cell_51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
52,cell_52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
53,cell_53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
54,cell_54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
55,cell_55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
56,cell_56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
57,cell_57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
58,cell_58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
59,cell_59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
60,cell_60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
61,cell_61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
62,cell_62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
63,cell_63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
64,cell_64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
65,cell_65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
66,cell_66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
67,cell_67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
68,cell_68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
69,cell_69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
70,cell_70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
71,cell_71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
72,cell_72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
73,cell_73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
74,cell_74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
75,cell_75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
76,cell_76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
77,cell_77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
78,cell_78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
79,cell_79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48140679733734,0.93364396853402,1.26303772148023,1.34090156289798,0.634433478206663
